8.25,8.13,7.50
10.00,10.00,9.00
9.30,8.80,7.00
7.00,7.00,
10.00,9.00,10.00
9.00,10.00,10.00
9.00,8.50,
8.50,9.00,10.00
7.50,7.00,6.00
10.00,8.25,
7.00,7.00,9.00
8.50,9.50,
7.90,7.40,9.10
8.00,8.00,10.00
9.00,9.50,8.50
9.50,9.60,8.60
6.00,7.50,7.00
10.00,10.00,9.50
7.90,8.10,6.00
9.00,10.00,
10.00,9.00,10.00
8.30,7.00,7.00
7.50,8.50,
8.50,7.50,6.00
8.00,7.50,6.50
7.00,3.00,
5.50,9.50,7.00
7.00,5.50,
2.80,2.10,1.40
8.00,8.00,8.00
7.50,8.50,8.00
7.40,8.30,8.70
8.00,7.85,8.20
10.00,10.00,
8.40,10.00,6.40
7.00,9.00,
10.00,9.00,10.00
10.00,9.50,9.50
10.00,9.00,
8.50,8.50,10.00
9.50,8.50,5.50
7.40,9.00,
8.00,9.50,9.00
9.30,9.00,
7.50,7.50,8.10
10.00,8.00,10.00
9.50,9.00,9.50
9.40,9.60,9.60
7.42,8.41,8.10
10.00,10.00,
8.80,10.00,9.60
7.00,10.00,
10.00,9.00,10.00
10.00,10.00,10.00
10.00,10.00,
8.50,9.50,10.00
10.00,9.00,10.00
8.80,9.10,
8.00,9.00,10.00
9.00,10.00,
10.00,10.00,10.00
10.00,10.00,10.00
10.00,9.00,9.00
10.00,10.00,9.90
9.56,9.42,9.87
10.00,10.00,
7.30,10.00,9.30
8.00,10.00,
10.00,9.00,10.00
10.00,10.00,10.00
10.00,10.00,
8.50,9.50,10.00
8.00,8.00,10.00
10.00,9.00,
9.50,9.00,10.00
9.20,9.00,
10.00,10.00,10.00
9.00,10.00,10.00
9.50,10.00,9.50
9.30,9.60,9.40
8.23,8.10,8.41
10.00,10.00,9.50
8.60,6.00,4.20
7.00,10.00,
9.00,9.00,10.00
8.30,7.00,7.00
8.00,8.00,
8.50,8.00,8.00
7.00,7.00,6.00
9.40,5.50,
7.50,6.50,8.50
8.00,7.50,
6.50,5.20,4.00
9.00,8.00,7.50
8.50,7.00,7.50
7.60,8.30,9.10
8.41,8.25,8.41
10.00,10.00,9.00
7.90,7.80,7.20
7.00,10.00,
10.00,9.50,10.00
8.60,8.80,8.80
7.00,8.00,
8.50,8.50,9.50
7.50,7.00,6.00
8.50,7.25,
6.00,5.50,8.00
5.50,10.00,
5.30,4.90,7.00
9.00,7.00,6.00
9.00,9.00,9.50
7.20,9.60,8.70
8.54,8.10,7.42
10.00,10.00,9.00
8.20,7.00,5.00
7.00,10.00,
10.00,9.50,10.00
10.00,6.50,6.50
9.50,8.50,
8.50,8.00,5.00
6.50,9.00,7.50
9.00,5.26,
5.50,5.50,8.50
9.00,5.00,
6.00,5.50,5.70
10.00,7.00,9.50
9.50,8.50,9.50
7.00,7.70,9.30
8.10,8.25,8.10
10.00,10.00,9.00
8.00,8.30,7.60
7.00,8.00,
10.00,9.50,10.00
9.20,8.80,8.80
7.00,7.00,
8.50,8.00,5.50
9.50,6.50,7.00
5.70,6.80,
7.50,6.50,5.00
7.80,7.00,
7.90,8.70,8.60
7.00,8.00,10.00
10.00,9.00,9.00
7.30,7.00,7.90
8.24,8.41,8.54
10.00,10.00,9.00
8.70,8.70,6.20
8.00,9.00,
10.00,9.00,10.00
9.20,9.00,9.00
7.00,7.00,
8.50,8.50,7.00
8.50,8.50,8.00
7.40,7.40,
6.00,9.00,9.50
7.00,7.50,
6.90,8.00,7.20
10.00,7.00,9.00
8.00,9.50,8.50
7.20,10.00,5.30
8.62,8.25,8.10
10.00,10.00,10.00
10.00,9.70,6.40
7.00,8.00,
10.00,9.50,10.00
7.80,7.00,7.00
10.00,9.00,
8.50,8.00,8.00
9.50,8.00,8.00
7.50,5.50,
9.00,6.50,9.50
6.20,6.50,
5.10,6.20,7.30
7.00,8.00,8.00
9.00,9.50,8.50
7.90,9.00,6.80
8.31,7.42,8.54
10.00,10.00,9.00
7.90,8.80,3.70
8.00,7.00,
10.00,9.50,10.00
7.20,,
8.00,9.00,
8.00,8.00,2.00
8.00,5.00,7.50
8.40,8.00,
7.50,7.00,9.00
6.20,7.50,
4.80,4.70,6.70
7.00,7.00,6.00
8.00,9.00,8.00
7.80,6.50,5.40
8.71,8.10,8.41
10.00,10.00,9.00
7.90,9.00,7.60
9.00,10.00,
10.00,9.50,10.00
7.00,7.00,7.00
8.50,8.50,
8.50,8.00,6.50
7.00,7.50,7.00
5.10,5.50,
6.50,7.00,6.00
6.00,5.50,
3.80,4.90,0.80
10.00,5.00,8.00
10.00,9.50,10.00
7.15,5.50,8.70
0.00,0.00,0.00
,,
0.00,0.00,0.00
0.00,0.00,
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,
8.50,0.00,0.00
0.00,0.00,0.00
0.00,,
0.00,0.00,0.00
0.00,0.00,
0.00,0.00,0.00
0.00,0.00,
0.00,0.00,0.00
0.00,0.00,0.00
8.10,8.25,8.10
10.00,10.00,9.00
5.10,7.70,5.00
8.00,9.00,
9.00,9.00,10.00
6.00,2.80,2.80
0.00,0.00,
